idp,age_group,nation,r1,ski,r2,push,r3,pull,r4,burpee,r5,row,r6,farmers,r7,lunges,r8,wall,roxzone,total,station_tot,run_tot,band
LR3MS4JI48556A,30-34,CHN,225.0,247.0,196.0,112.0,205.0,180.0,205.0,168.0,208.0,251.0,201.0,82.0,212.0,206.0,228.0,252.0,346.0,3515.0,1498.0,1680.0,<70
LR3MS4JI48499F,16-24,KOR,229.0,248.0,201.0,148.0,206.0,195.0,205.0,152.0,212.0,261.0,198.0,110.0,202.0,166.0,223.0,225.0,364.0,3535.0,1505.0,1676.0,<70
LR3MS4JI485343,30-34,CHN,219.0,248.0,191.0,144.0,199.0,224.0,195.0,183.0,199.0,262.0,200.0,92.0,204.0,212.0,214.0,261.0,334.0,3572.0,1626.0,1621.0,<70
LR3MS4JI48557B,35-39,CHN,236.0,251.0,207.0,140.0,216.0,173.0,221.0,155.0,212.0,264.0,218.0,98.0,229.0,168.0,240.0,249.0,375.0,3643.0,1498.0,1779.0,<70
LR3MS4JI484996,40-44,KOR,231.0,256.0,203.0,140.0,214.0,176.0,213.0,156.0,223.0,272.0,218.0,103.0,220.0,208.0,240.0,240.0,366.0,3670.0,1551.0,1762.0,<70
LR3MS4JI485E3B,30-34,RUS,247.0,251.0,222.0,115.0,234.0,181.0,221.0,246.0,222.0,269.0,224.0,85.0,219.0,223.0,250.0,206.0,388.0,3793.0,1576.0,1839.0,<70
LR3MS4JI485979,30-34,CHN,237.0,243.0,204.0,131.0,230.0,218.0,238.0,224.0,234.0,254.0,222.0,106.0,219.0,229.0,245.0,251.0,379.0,3856.0,1656.0,1829.0,<70
LR3MS4JI485BEA,35-39,USA,229.0,271.0,199.0,134.0,206.0,234.0,205.0,248.0,210.0,269.0,209.0,105.0,207.0,232.0,227.0,303.0,385.0,3867.0,1796.0,1692.0,<70
LR3MS4JI4849E5,45-49,RUS,224.0,254.0,199.0,156.0,210.0,223.0,211.0,259.0,213.0,270.0,211.0,89.0,211.0,232.0,244.0,280.0,415.0,3893.0,1763.0,1723.0,<70
LR3MS4JI4857AE,30-34,CHN,236.0,237.0,217.0,137.0,228.0,156.0,234.0,207.0,236.0,258.0,229.0,99.0,231.0,210.0,264.0,286.0,465.0,3921.0,1590.0,1875.0,<70
LR3MS4JI485976,25-29,CHN,234.0,248.0,215.0,159.0,224.0,203.0,221.0,219.0,225.0,269.0,225.0,103.0,216.0,266.0,249.0,278.0,426.0,3973.0,1745.0,1809.0,<70
LR3MS4JI4849E7,30-34,GBR,239.0,246.0,208.0,157.0,222.0,175.0,225.0,266.0,236.0,269.0,230.0,106.0,241.0,266.0,256.0,241.0,408.0,3983.0,1726.0,1857.0,<70
LR3MS4JI485BC7,40-44,CHN,246.0,274.0,220.0,171.0,229.0,253.0,226.0,178.0,223.0,266.0,234.0,122.0,223.0,242.0,252.0,233.0,432.0,4016.0,1739.0,1853.0,<70
LR3MS4JI48573E,30-34,CHN,245.0,240.0,229.0,170.0,244.0,227.0,237.0,237.0,238.0,261.0,241.0,110.0,240.0,198.0,260.0,268.0,397.0,4034.0,1711.0,1934.0,<70
LR3MS4JI485123,25-29,HKG,269.0,262.0,226.0,161.0,234.0,214.0,228.0,168.0,243.0,267.0,238.0,125.0,236.0,222.0,267.0,329.0,423.0,4104.0,1748.0,1941.0,<70
LR3MS4JI48577E,30-34,CHN,249.0,248.0,223.0,155.0,233.0,211.0,233.0,207.0,241.0,261.0,248.0,124.0,246.0,214.0,263.0,376.0,394.0,4121.0,1796.0,1936.0,<70
